1986,Best Picture,A Room with a View,"Ismail Merchant, Producer",0
1986,Best Picture,Children of a Lesser God,"Burt Sugarman and Patrick Palmer, Producers",0
1986,Best Picture,The Mission,"Fernando Ghia and David Puttnam, Producers",0
1986,Best Picture,Platoon,"Arnold Kopelson, Producer",1
1987,Best Picture,The Last Emperor,"Jeremy Thomas, Producer",1
1987,Best Picture,Hope and Glory,"John Boorman, Producer",0
1987,Best Picture,Moonstruck,"Patrick Palmer and Norman Jewison, Producers",0
1987,Best Picture,Fatal Attraction,"Stanley R. Jaffe and Sherry Lansing, Producers",0
1987,Best Picture,Broadcast News,"James L. Brooks, Producer",0
1988,Best Picture,Mississippi Burning,"Frederick Zollo and Robert F. Colesberry, Producers",0
1988,Best Picture,Working Girl,"Douglas Wick, Producer",0
1988,Best Picture,Dangerous Liaisons,"Norma Heyman and Hank Moonjean, Producers",0
1988,Best Picture,The Accidental Tourist,"Lawrence Kasdan, Charles Okun and Michael Grillo, Producers",0
1988,Best Picture,Rain Man,"Mark Johnson, Producer",1
1989,Best Picture,My Left Foot,"Noel Pearson, Producer",0
1989,Best Picture,Field of Dreams,"Lawrence Gordon and Charles Gordon, Producers",0
1989,Best Picture,Driving Miss Daisy,"Richard D. Zanuck and Lili Fini Zanuck, Producers",1
1989,Best Picture,Dead Poets Society,"Steven Haft, Paul Junger Witt and Tony Thomas, Producers",0
1989,Best Picture,Born on the Fourth of July,"A. Kitman Ho and Oliver Stone, Producers",0
1990,Best Picture,Goodfellas,"Irwin Winkler, Producer",0
1990,Best Picture,Awakenings,"Walter F. Parkes and Lawrence Lasker, Producers",0
1990,Best Picture,"The Godfather, Part III","Francis Ford Coppola, Producer",0
1990,Best Picture,Dances With Wolves,"Jim Wilson and Kevin Costner, Producers",1
1990,Best Picture,Ghost,"Lisa Weinstein, Producer",0
1991,Best Picture,JFK,"A. Kitman Ho and Oliver Stone, Producers",0
1991,Best Picture,Beauty and the Beast,"Don Hahn, Producer",0
1991,Best Picture,The Silence of the Lambs,"Edward Saxon, Kenneth Utt and Ron Bozman, Producers",1
1991,Best Picture,Bugsy,"Mark Johnson, Barry Levinson and Warren Beatty, Producers",0
1991,Best Picture,The Prince of Tides,"Barbra Streisand and Andrew Karsch, Producers",0
1992,Best Picture,Howards End,"Ismail Merchant, Producer",0
1992,Best Picture,The Crying Game,"Stephen Woolley, Producer",0
1992,Best Picture,Scent of a Woman,"Martin Brest, Producer",0
1992,Best Picture,Unforgiven,"Clint Eastwood, Producer",1
1992,Best Picture,A Few Good Men,"David Brown, Rob Reiner and Andrew Scheinman, Producers",0
1993,Best Picture,The Fugitive,"Arnold Kopelson, Producer",0
1993,Best Picture,Schindler's List,"Steven Spielberg, Gerald R. Molen and Branko Lustig, Producers",1
1993,Best Picture,In the Name of the Father,"Jim Sheridan, Producer",0
1993,Best Picture,The Piano,"Jan Chapman, Producer",0
1993,Best Picture,The Remains of the Day,"Mike Nichols, John Calley and Ismail Merchant, Producers",0
1994,Best Picture,The Shawshank Redemption,"Niki Marvin, Producer",0
1994,Best Picture,Pulp Fiction,"Lawrence Bender, Producer",0
1994,Best Picture,Quiz Show,"Robert Redford, Michael Jacobs, Julian Krainin and Michael Nozik, Producers",0
1994,Best Picture,Four Weddings and a Funeral,"Duncan Kenworthy, Producer",0
1994,Best Picture,Forrest Gump,"Wendy Finerman, Steve Tisch and Steve Starkey, Producers",1
1995,Best Picture,Sense and Sensibility,"Lindsay Doran, Producer",0
1995,Best Picture,Braveheart,"Mel Gibson, Alan Ladd Jr. and Bruce Davey, Producers",1
1995,Best Picture,Apollo 13,"Brian Grazer, Producer",0
1995,Best Picture,Babe,"George Miller, Doug Mitchell and Bill Miller, Producers",0
1995,Best Picture,Il Postino,"Mario Cecchi Gori, Vittorio Cecchi Gori and Tony Daniele, Producers",0
1996,Best Picture,Secrets & Lies,"Simon Channing-Williams, Producer",0
1996,Best Picture,The English Patient,"Saul Zaentz, Producer",1
1996,Best Picture,Fargo,"Ethan Coen, Producer",0
1996,Best Picture,Jerry Maguire,"James L. Brooks, Laurence Mark, Richard Sakai and Cameron Crowe, Producers",0
1996,Best Picture,Shine,"Jane Scott, Producer",0
1997,Best Picture,The Full Monty,"Uberto Pasolini, Producer",0
1997,Best Picture,As Good As It Gets,"James L. Brooks, Bridget Johnson and Kristi Zea, Producers",0
1997,Best Picture,L.A. Confidential,"Arnon Milchan, Curtis Hanson and Michael Nathanson, Producers",0
1997,Best Picture,Titanic,"James Cameron and Jon Landau, Producers",1
1997,Best Picture,Good Will Hunting,"Lawrence Bender, Producer",0
1998,Best Picture,Elizabeth,"Alison Owen, Eric Fellner and Tim Bevan, Producers",0
1998,Best Picture,Shakespeare in Love,"David Parfitt, Donna Gigliotti, Harvey Weinstein, Edward Zwick and Marc Norman, Producers",1
1998,Best Picture,Life Is Beautiful,"Elda Ferri and Gianluigi Braschi, Producers",0
1998,Best Picture,The Thin Red Line,"Robert Michael Geisler, John Roberdeau and Grant Hill, Producers",0
1998,Best Picture,Saving Private Ryan,"Steven Spielberg, Ian Bryce, Mark Gordon and Gary Levinsohn, Producers",0
1999,Best Picture,American Beauty,"Bruce Cohen and Dan Jinks, Producers",1
