2007,Best Animated Feature,Shrek the Third,,0,
2007,Best Animated Feature,The Simpsons: The Movie,,0,
2007,Best Animated Feature,Surf's Up,,2,
2007,Best Scene,The Assassination of Jesse James by the Coward Robert Ford,,0,The Assassination of Jesse James
2007,Best Scene,Harry Potter and the Order of the Phoenix,,0,The Duel of Dumbledore and Voldemort
2007,Best Scene,I Am Legend,,0,Looking for Sam
2007,Best Scene,Lars and the Real Girl,,0,We Do it For You
2007,Best Scene,No Country For Old Men,,1,The Gas Station Clerk
2007,Best Scene,There Will Be Blood,,0,Accepting the Blood
2007,Best Scene,There Will Be Blood,,0,Back to Perdition
2007,Worst Picture,Elizabeth: The Golden Age,,0,
2007,Worst Picture,I Am Legend,,0,
2007,Worst Picture,Meet the Robinsons,,0,
2007,Worst Picture,Number 23,,1,
2007,Worst Picture,Transformers,,0,
2008,"Top Ten","The Dark Knight",,1,
2008,"Top Ten","Wall-E",,2,
2008,"Top Ten","Doubt",,3,
2008,"Top Ten","Frost/Nixon",,4,
2008,"Top Ten","Chop Shop",,5,
2008,"Top Ten","The Curious Case of Benjamin Button",,6,
2008,"Top Ten","Gran Torino",,7,
2008,"Top Ten","Iron Man",,8,
2008,"Top Ten","Man on Wire|Encounters at the End of the World",,9,
2008,"Top Ten","Slumdog Millionaire",,10,
2008,"Top Ten","Chicago 10",,11,
2008,"Top Ten","I.O.U.S.A.",,12,
2008,"Top Ten","Changeling",,13,
2008,"Top Ten","Body of Lies",,14,
2008,"Top Ten","Frozen River",,15,
2008,"Best Picture","Chop Shop",,0,
2008,"Best Picture","The Dark Knight",,1,
2008,"Best Picture","Doubt",,0,
2008,"Best Picture","Frost/Nixon",,0,
2008,"Best Picture","Wall-E",,0,
2008,"Best Actor","Iron Man","Robert Downey Jr.",0,
2008,"Best Actor","In Bruges","Colin Farell",0,
2008,"Best Actor","Frost/Nixon","Frank Langella",0,
2008,"Best Actor","Doubt Phillip","Seymour Hoffman",1,
2008,"Best Actor","Chop Shop","Alejandro Polanco",0,
2008,"Best Actor","Frost/Nixon","Michael Sheen",0,
2008,"Best Actor","JVCD","Jean-Claude Van Damme",0,
2008,"Best Actress","The Curious Case of Benjamin Button","Cate Blanchett",0,
2008,"Best Actress","Under the Bombs","Nada Abou Farhat",0,
2008,"Best Actress","Rachel Getting Married","Anne Hathaway",0,
2008,"Best Actress","Changeling","Angelina Jolie",0,
2008,"Best Actress","Frozen River","Melissa Leo",0,
2008,"Best Actress","Doubt","Meryl Streep",1,
2008,"Best Supporting Actor","Tropic Thunder","Robert Downey Jr.",0,
2008,"Best Supporting Actor","The Dark Knight","Heath Ledger",1,
2008,"Best Supporting Actor","Changeling|Burn After Reading","John Malkovich",0,
2008,"Best Supporting Actor","Appaloosa","Viggo Mortenson",0,
2008,"Best Supporting Actor","Burn After Reading","Brad Pitt",0,
2008,"Best Supporting Actress","Doubt","Amy Adams",1,
2008,"Best Supporting Actress","Chop Shop","Isamar Gonzales",0,
2008,"Best Supporting Actress","The Curious Case of Benjamin Button","Taraji P. Henson",0,
2008,"Best Supporting Actress","Burn After Reading","Frances McDormand",0,
2008,"Best Supporting Actress","Burn After Reading","Tilda Swinton",0,
2008,"Best Director","Chop Shop","Ramin Bahrani",0,
2008,"Best Director","Slumdog Millionaire","Danny Boyle",0,
2008,"Best Director","The Curious Case of Benjamin Button","David Fincher",0,
2008,"Best Director","The Dark Knight","Christopher Nolan",1,
2008,"Best Director","Doubt","John Patrick Shanley",0,
2008,"Best Cinematography","Changeling","Tom Stern",0,
2008,"Best Cinematography","The Curious Case of Benjamin Button","Claudio Miranda",1,
2008,"Best Cinematography","The Dark Knight","Wally Pfister",0,
2008,"Best Cinematography","In Bruges","Eigil Bryld",0,
2008,"Best Cinematography","JCVD","Pierre-Yves Bastard",0,
2008,"Best Cinematography","Slumdog Millionaire","Anthony Dod Mantle",0,
2008,"Best Cinematography","Wall-E",,0,
2008,"Best Original Screenplay","Body of Lies","William Monahan",0,
2008,"Best Original Screenplay","The Dark Knight","Jonathan Nolan|Christopher Nolan",1,
2008,"Best Original Screenplay","Gran Torino","Nick Schenk",0,
2008,"Best Original Screenplay","Rachel Getting Married","Jenny Lumet",0,
2008,"Best Original Screenplay","Wall-E","Andrew Stanton|Jim Reardon",0,
2008,"Best Adapted Screenplay","The Curious Case of Benjamin Button","Eric Roth",0,
2008,"Best Adapted Screenplay","Doubt","John Patrick Shanley",0,
